2024-08-04 22:24:29.146 [restartedMain] INFO  com.tms.mono.TransportManagementSystemApplication - Starting TransportManagementSystemApplication using Java 17.0.7 with PID 3732 (C:\Users\Hp\Desktop\WorkSpace\Micro-services\TransportManagementSystem\target\classes started by Hp in C:\Users\Hp\Desktop\WorkSpace\Micro-services\TransportManagementSystem)
2024-08-04 22:24:29.151 [restartedMain] INFO  com.tms.mono.TransportManagementSystemApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-04 22:24:32.573 [restartedMain] INFO  com.tms.mono.TransportManagementSystemApplication - Started TransportManagementSystemApplication in 3.655 seconds (process running for 168307.544)
2024-08-04 22:28:25.123 [http-nio-8081-exec-2] INFO  com.tms.mono.controller.CreationControllerV1 - In <CreationControllerV1>
2024-08-04 22:28:25.126 [http-nio-8081-exec-2] INFO  com.tms.mono.service.impl.CreateServiceImpl - Adding new VehicalOwner to the database : VehicalOwner(id=1, name=null, mobile=null, vehicals=null)
2024-08-04 22:29:04.241 [http-nio-8081-exec-3] INFO  com.tms.mono.controller.CreationControllerV1 - In <CreationControllerV1>
2024-08-04 22:29:04.241 [http-nio-8081-exec-3] INFO  com.tms.mono.service.impl.CreateServiceImpl - Adding new VehicalOwner to the database : VehicalOwner(id=2, name=null, mobile=null, vehicals=null)
2024-08-04 22:32:05.128 [restartedMain] INFO  com.tms.mono.TransportManagementSystemApplication - Starting TransportManagementSystemApplication using Java 17.0.7 with PID 3732 (C:\Users\Hp\Desktop\WorkSpace\Micro-services\TransportManagementSystem\target\classes started by Hp in C:\Users\Hp\Desktop\WorkSpace\Micro-services\TransportManagementSystem)
2024-08-04 22:32:05.129 [restartedMain] INFO  com.tms.mono.TransportManagementSystemApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-04 22:32:07.612 [restartedMain] INFO  com.tms.mono.TransportManagementSystemApplication - Started TransportManagementSystemApplication in 2.558 seconds (process running for 168762.583)
2024-08-04 22:32:10.409 [restartedMain] INFO  com.tms.mono.TransportManagementSystemApplication - Starting TransportManagementSystemApplication using Java 17.0.7 with PID 3732 (C:\Users\Hp\Desktop\WorkSpace\Micro-services\TransportManagementSystem\target\classes started by Hp in C:\Users\Hp\Desktop\WorkSpace\Micro-services\TransportManagementSystem)
2024-08-04 22:32:10.410 [restartedMain] INFO  com.tms.mono.TransportManagementSystemApplication - No active profile set, falling back to 1 default profile: "default"
